ec_number,description
EC:3.6.4.12,ok
EC:2.7.7.7,ok
EC:2.7.1.69,ok
EC:1.1.1.1,ok
EC:6.3.5.5,ok
EC:6.4.1.2,ok
EC:3.6.3.21,ok
EC:2.7.7.6,ok
EC:5.99.1.3,ok
EC:5.4.2.12,ok
