Pathway,description
ARGSYNBSUB-PWY,v
COA-PWY,v
PEPTIDOGLYCANSYN-PWY,v
PWY-5667,v
PWY-6121,v
PWY-6123,v
RUMP-PWY,v
PWY0-1319,v
PWY-7228,v
PWY-7242,v
UDPNAGSYN-PWY,v
PWY-7219,v
PWY-7208,v
PWY-7197,v
PWY-7221,v
PWY-6387,v
PWY-841,v
P122-PWY,v
PWY-5840,v
ARGSYN-PWY,v
PWY0-162,v
PWY-7184,v
PWY-7229,v
PWY-6386,v
PWY-6125,v
ARO-PWY,v
PWY-6126,v
P124-PWY,v
PWY-5837,v
PWY-6163,v
PWY-5686,v
PWY4FS-8,v
PWY-7234,v
PWY4FS-7,v
PWY-6317,v
GLUTORN-PWY,v
PWY-621,v
PWY-6277,v
PWY-6897,v
PWY-6122,v
P161-PWY,v
GLYCOGENSYNTH-PWY,v
POLYISOPRENSYN-PWY,v
PWY-5899,v
PWY-5898,v
PWY-5897,v
PWY-5973,v
PWY-7400,v
PWY-2941,v
PWY-7663,v
PWY-7222,v
PWY-7220,v
PWY-5100,v
GLUCUROCAT-PWY,v
PWY-2942,v
PWY-6385,v
PWY0-166,v
PWY-6151,v
PWY-7539,v
PWY-6147,v
PWY-5863,v
